4,4,4,4,4,4,4,4,4,4,4,5,6,4,4,4,4,4,4,4,4,5,6,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,5,6,15,15,15,15,15,15,15,15,13,14,15,15,15,15,15,15,4
4,4,4,4,4,4,4,4,4,4,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
4,4,4,4,4,4,4,4,4,4,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
4,4,4,4,4,4,4,4,4,4,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
4,4,4,4,4,4,4,4,4,4,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
4,4,4,4,4,4,4,4,4,4,4,5,6,-1,-1,-1,-1,4,7,7,7,7,7,7,7,4,-1,-1,-1,4
4,4,4,12,4,4,12,4,4,12,4,5,6,-1,-1,-1,-1,4,12,23,23,12,23,23,12,4,-1,-1,-1,4
4,4,4,4,4,4,4,4,4,4,4,5,6,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,-1,-1,-1,4
4,4,15,15,15,15,15,15,15,15,15,13,14,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,-1,-1,-1,4
4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,12,4,4,4,4,4,12,4,-1,-1,-1,4
4,4,45,46,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,45,46,47,4
4,3,53,54,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,4,4,3,53,54,55,4
4,11,61,62,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,12,4,4,4,4,4,12,11,61,62,63,4
4,4,0,1,1,1,1,1,1,1,2,4,4,4,0,1,2,4,4,4,4,4,4,4,4,4,0,1,2,4
4,4,8,19,19,19,9,19,19,19,10,4,12,4,4,4,4,4,4,4,4,4,4,4,4,4,8,9,10,4
4,4,16,-1,-1,-1,17,-1,-1,-1,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,17,18,4
